code,description,emergency,year
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4740.0,2019-20
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,538.0,2019-20
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified site",29220.0,2019-20
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",20532.0,2019-20
C97-C97,Malignant neoplasms of independent (primary) multiple sites,594.0,2019-20
D00-D09,In situ neoplasms,178.0,2019-20
D10-D36,Benign neoplasms,8640.0,2019-20
D37-D48,Neoplasms of uncertain or unknown behaviour,6807.0,2019-20
D50-D53,Nutritional anaemias,29852.0,2019-20
D55-D59,Haemolytic anaemias,13578.0,2019-20
D60-D64,Aplastic and other anaemias,25212.0,2019-20
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",8422.0,2019-20
D70-D77,Other diseases of blood and blood-forming organs,6804.0,2019-20
D80-D89,Certain disorders involving the immune mechanism,1272.0,2019-20
E00-E07,Disorders of thyroid gland,3726.0,2019-20
E10-E14,Diabetes Mellitus,51708.0,2019-20
E15-E16,Other disorders of glucose regulation and pancreatic internal secr,13745.0,2019-20
E20-E35,Disorders of other endocrine glands,5538.0,2019-20
E40-E46,Malnutrition,654.0,2019-20
E50-E64,Other nutritional deficiencies,1381.0,2019-20
E65-E68,Obesity and other hyperalimentation,581.0,2019-20
E70-E90,Metabolic disorders,74407.0,2019-20
F00-F09,"Organic, including symptomatic, mental disorders",32398.0,2019-20
F10-F19,Mental and behavioural disorders due to psychoactive subst.,48160.0,2019-20
F20-F29,"Schizophrenia, schizotypal and delusional disorders",16227.0,2019-20
F30-F39,Mood [affective] disorders,17349.0,2019-20
F40-F48,"Neurotic, stress-related and somatoform disorders",18948.0,2019-20
F50-F59,Behavioural syndromes associated with physiological disturbances a,2969.0,2019-20
F60-F69,Disorders of adult personality and behaviour,7561.0,2019-20
F70-F79,Mental retardation,211.0,2019-20
F80-F89,Disorders of psychological development,810.0,2019-20
F90-F98,Behavioural and emotional disorders with onset usually occurring i,889.0,2019-20
F99-F99,Unspecified mental disorder,520.0,2019-20
G00-G09,Inflammatory diseases of the central nervous system,5011.0,2019-20
G10-G14,Systemic atrophies primarily affecting the central nervous system,1216.0,2019-20
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,6399.0,2019-20
G30-G32,Other degenerative diseases (incl. Alzheimer).,5201.0,2019-20
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,3045.0,2019-20
G40-G47,Episodic and paroxysmal disorders,87460.0,2019-20
G50-G59,"Nerve, nerve root and plexus disorders",7823.0,2019-20
G60-G64,Polyneuropathies and other disorders of the peripheral nervous sys,2565.0,2019-20
G70-G73,Diseases of myoneural junction and muscle,1482.0,2019-20
G80-G83,Cerebral palsy & other paralytic syndromes,4334.0,2019-20
G90-G99,Other diseases & disorders of the nervous syst.,12758.0,2019-20
H00-H06,"Disorders of eyelid, lacrimal system and orbit",6637.0,2019-20
H10-H13,Disorders of conjunctiva (including conjunctivitis),2036.0,2019-20
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",2160.0,2019-20
H25-H28,Disorders of lens (including cataracts),612.0,2019-20
H30-H36,Disorders of choroid and retina,8322.0,2019-20
H40-H42,Glaucoma,1100.0,2019-20
H43-H45,Disorders of vitreous body and globe,1415.0,2019-20
H46-H48,Disorders of optic nerve and visual pathways,2228.0,2019-20
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and",1396.0,2019-20
H53-H54,Visual disturbances and blindness,6410.0,2019-20
H55-H59,Other disorders of eye and adnexa,2123.0,2019-20
H60-H62,Diseases of external ear,8697.0,2019-20
