code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct
B25-B34,Other viral diseases,116893.0,105728.0,45958.0,96977.0,83090.0,85279.0,111310.5,5.015250133635192,-5.015250133635192,-58.711891510684076,-12.877042147865655,-25.352954123824794,-23.38638313546341
B35-B49,Mycoses,3312.0,3541.0,2678.0,3096.0,3258.0,3655.0,3426.5,-3.3416022180067126,3.3416022180067126,-21.844447687144317,-9.645410769006274,-4.917554355756603,6.6686122865898145
B50-B64,Protozoal diseases,1869.0,1966.0,571.0,1285.0,1789.0,2195.0,1917.5,-2.529335071707953,2.529335071707953,-70.22164276401564,-32.98565840938723,-6.701434159061277,14.471968709256844
B65-B83,Helminthiases,338.0,288.0,239.0,236.0,239.0,264.0,313.0,7.987220447284344,-7.987220447284344,-23.642172523961662,-24.600638977635782,-23.642172523961662,-15.654952076677317
B85-B89,"Pediculosis, acariasis and other infestations",,251.0,192.0,194.0,274.0,408.0,251.0,,0.0,-23.50597609561753,-22.709163346613543,9.163346613545817,62.54980079681275
B85-B99,Other infectious and parasitic diseases,3346.0,,,,,,3346.0,0.0,,,,,
B95-B98,"Bacterial, viral and other infectious agents",,6.0,5.0,2.0,8.0,5.0,6.0,,0.0,-16.666666666666664,-66.66666666666666,33.33333333333333,-16.666666666666664
B99-B99,Other infectious and parasitic diseases,,5109.0,4866.0,7477.0,8482.0,11103.0,5109.0,,0.0,-4.7563123899001765,46.34957917400666,66.02074770013702,117.32237228420435
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2537.0,2452.0,2303.0,2539.0,2639.0,2709.0,2494.5,1.7037482461415114,-1.7037482461415114,-7.676889156143515,1.7839246341952295,5.792744036881139,8.598917618761275
C15-C26,Malignant neoplasm of digestive organs,29686.0,29995.0,27797.0,30000.0,28669.0,29835.0,29840.5,-0.5177527186206665,0.5177527186206665,-6.848075601950369,0.5345084700323386,-3.9258725557547627,-0.018431326552839262
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,15490.0,14889.0,13935.0,14595.0,13707.0,13258.0,15189.5,1.9783403008657294,-1.9783403008657294,-8.258994700286381,-3.913887883077126,-9.760031600776852,-12.716020935514665
C40-C41,Malignant neoplasm of bone and articular cartilage,626.0,621.0,616.0,640.0,709.0,720.0,623.5,0.40096230954290296,-0.40096230954290296,-1.202886928628709,2.6463512429831595,13.712910986367282,15.477145148356056
C43-C44,Malignant neoplasms of skin,1145.0,1332.0,1387.0,1592.0,1554.0,1646.0,1238.5,-7.549454985870003,7.549454985870003,11.990310859911183,28.542591844973757,25.47436415018167,32.902704884941464
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2510.0,2506.0,2353.0,2351.0,2229.0,2347.0,2508.0,0.07974481658692185,-0.07974481658692185,-6.180223285486443,-6.2599681020733655,-11.124401913875598,-6.419457735247209
C50,Malignant neoplasm of breast,4308.0,,,,,,4308.0,0.0,,,,,
