code,description,emergency,year
P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,21527.0,2022-23
P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,464.0,2022-23
P75-P78,Digestive system disorders of fetus and newborn,3245.0,2022-23
P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,1800.0,2022-23
P90-P96,Other disorders originating in the perinatal period,8047.0,2022-23
Q00-Q07,Congenital malformations of the nervous system,617.0,2022-23
Q10-Q18,"Congenital malformations of eye, ear, face and neck",351.0,2022-23
Q20-Q28,Congenital malformations of the circulatory system,2012.0,2022-23
Q30-Q34,Congenital malformations of the respiratory system,887.0,2022-23
Q35-Q37,Cleft lip and cleft palate,41.0,2022-23
Q38-Q45,Other congenital malformations of the digestive system,2135.0,2022-23
Q50-Q56,Congenital malformations of genital organs,1989.0,2022-23
Q60-Q64,Congenital malformations of the urinary system,568.0,2022-23
Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,849.0,2022-23
Q80-Q89,Other congenital malformations,614.0,2022-23
Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",108.0,2022-23
R00-R09,Symptoms & signs inv. the circulatory/respiratory system,341983.0,2022-23
R10-R19,Symptoms & signs inv. the digestive system & abdomen,258438.0,2022-23
R20-R23,Symptoms & signs inv. the skin & subcutaneous tissue,29157.0,2022-23
R25-R29,Symptoms & signs inv. the nervous & musculoskeletal sys.,92467.0,2022-23
R30-R39,Symptoms & signs involving the urinary system,44381.0,2022-23
R40-R46,Symptoms & signs inv. Cognition perception etc.,59375.0,2022-23
R47-R49,Symptoms & signs inv. speech & voice,5510.0,2022-23
R50-R69,General symptoms & signs,304736.0,2022-23
R70-R79,"Abnormal findings on examination of blood, without diagnosis",10493.0,2022-23
R80-R82,"Abnormal findings on examination of urine, without diagnosis",466.0,2022-23
R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",216.0,2022-23
R90-R94,Abnormal findings on diagnostic imaging/function studies,12411.0,2022-23
R95-R99,Ill-defined & unknown causes of mortality,2.0,2022-23
S00-S09,Injuries to the head,118611.0,2022-23
S10-S19,Injuries to the neck,8446.0,2022-23
S20-S29,Injuries to the thorax,31660.0,2022-23
S30-S39,"Injuries to abdomen, lower back, lumbar spine & pelvis",37161.0,2022-23
S40-S49,Injuries to the shoulder & upper arm,31932.0,2022-23
S50-S59,Injuries to the elbow & forearm,39139.0,2022-23
S60-S69,Injuries to the wrist & hand,44782.0,2022-23
